segment_id,value,created_at
1,8.32,2026-03-05 02:40:51
2,8.08,2026-03-05 02:40:51
3,8.17,2026-03-05 02:40:51
4,15.26,2026-03-05 02:40:51
5,18.65,2026-03-05 02:40:51
6,1.47,2026-03-05 02:40:51
7,14.15,2026-03-05 02:40:51
8,6.12,2026-03-05 02:40:51
9,13.62,2026-03-05 02:40:51
10,17.96,2026-03-05 02:40:51
11,10.81,2026-03-05 02:40:51
12,14.55,2026-03-05 02:40:51
13,19.53,2026-03-05 02:40:51
14,17.61,2026-03-05 02:40:51
15,13.52,2026-03-05 02:40:51
16,11.92,2026-03-05 02:40:51
17,4.3,2026-03-05 02:40:51
18,9.99,2026-03-05 02:40:51
19,1.58,2026-03-05 02:40:51
20,7.51,2026-03-05 02:40:51
21,4.93,2026-03-05 02:40:51
22,2.86,2026-03-05 02:40:51
23,10.87,2026-03-05 02:40:51
24,2.39,2026-03-05 02:40:51
25,9.41,2026-03-05 02:40:51
26,3.02,2026-03-05 02:40:51
27,14.67,2026-03-05 02:40:51
28,17.65,2026-03-05 02:40:51
29,11.25,2026-03-05 02:40:51
30,14.12,2026-03-05 02:40:51
31,7.05,2026-03-05 02:40:51
32,9.99,2026-03-05 02:40:51
33,7.2,2026-03-05 02:40:51
34,4.63,2026-03-05 02:40:51
35,3.26,2026-03-05 02:40:51
36,10.15,2026-03-05 02:40:51
37,0.04,2026-03-05 02:40:51
38,8.34,2026-03-05 02:40:51
39,9.07,2026-03-05 02:40:51
40,9.92,2026-03-05 02:40:51
1,18.75,2026-03-05 03:10:51
2,10.69,2026-03-05 03:10:51
3,14.11,2026-03-05 03:10:51
4,12.68,2026-03-05 03:10:51
5,17.23,2026-03-05 03:10:51
6,16.78,2026-03-05 03:10:51
7,13.61,2026-03-05 03:10:51
8,3.8,2026-03-05 03:10:51
9,12.66,2026-03-05 03:10:51
10,1.65,2026-03-05 03:10:51
11,11.52,2026-03-05 03:10:51
12,6.1,2026-03-05 03:10:51
13,18.37,2026-03-05 03:10:51
14,12.73,2026-03-05 03:10:51
15,5.97,2026-03-05 03:10:51
16,0.12,2026-03-05 03:10:51
17,9.5,2026-03-05 03:10:51
18,13.46,2026-03-05 03:10:51
19,8.78,2026-03-05 03:10:51
20,7.49,2026-03-05 03:10:51
21,17.24,2026-03-05 03:10:51
22,17.63,2026-03-05 03:10:51
23,4.89,2026-03-05 03:10:51
24,3.98,2026-03-05 03:10:51
25,9.51,2026-03-05 03:10:51
26,2.3,2026-03-05 03:10:51
27,10.96,2026-03-05 03:10:51
28,15.91,2026-03-05 03:10:51
29,18.43,2026-03-05 03:10:51
30,8.71,2026-03-05 03:10:51
31,18.67,2026-03-05 03:10:51
32,14.01,2026-03-05 03:10:51
33,14.12,2026-03-05 03:10:51
34,13.42,2026-03-05 03:10:51
35,7.11,2026-03-05 03:10:51
36,19.72,2026-03-05 03:10:51
37,12.41,2026-03-05 03:10:51
38,3.2,2026-03-05 03:10:51
39,11.43,2026-03-05 03:10:51
40,2.43,2026-03-05 03:10:51
1,15.72,2026-03-05 03:40:51
2,8.52,2026-03-05 03:40:51
3,14.4,2026-03-05 03:40:51
4,17.29,2026-03-05 03:40:51
5,1.46,2026-03-05 03:40:51
6,17.34,2026-03-05 03:40:51
7,3.41,2026-03-05 03:40:51
8,12.66,2026-03-05 03:40:51
9,15.11,2026-03-05 03:40:51
10,3.84,2026-03-05 03:40:51
11,11.12,2026-03-05 03:40:51
12,1.01,2026-03-05 03:40:51
13,10.6,2026-03-05 03:40:51
14,17.67,2026-03-05 03:40:51
15,6.92,2026-03-05 03:40:51
16,14.98,2026-03-05 03:40:51
17,16.74,2026-03-05 03:40:51
18,13.7,2026-03-05 03:40:51
19,14.1,2026-03-05 03:40:51
20,12.15,2026-03-05 03:40:51
21,13.05,2026-03-05 03:40:51
22,10.14,2026-03-05 03:40:51
23,0.86,2026-03-05 03:40:51
24,3.06,2026-03-05 03:40:51
25,2.78,2026-03-05 03:40:51
26,13.31,2026-03-05 03:40:51
27,18.31,2026-03-05 03:40:51
28,16.13,2026-03-05 03:40:51
29,2.47,2026-03-05 03:40:51
30,11.43,2026-03-05 03:40:51
31,14.99,2026-03-05 03:40:51
32,0.63,2026-03-05 03:40:51
33,18.25,2026-03-05 03:40:51
34,9.21,2026-03-05 03:40:51
35,9.75,2026-03-05 03:40:51
36,6.62,2026-03-05 03:40:51
37,19.97,2026-03-05 03:40:51
38,8.14,2026-03-05 03:40:51
39,13.19,2026-03-05 03:40:51
40,17.02,2026-03-05 03:40:51
1,18.79,2026-03-05 04:10:51
2,13.3,2026-03-05 04:10:51
3,0.67,2026-03-05 04:10:51
4,15.58,2026-03-05 04:10:51
5,5.91,2026-03-05 04:10:51
6,10.43,2026-03-05 04:10:51
7,5.04,2026-03-05 04:10:51
8,10.61,2026-03-05 04:10:51
9,9.94,2026-03-05 04:10:51
10,3.0,2026-03-05 04:10:51
11,7.08,2026-03-05 04:10:51
12,15.67,2026-03-05 04:10:51
13,14.11,2026-03-05 04:10:51
14,0.52,2026-03-05 04:10:51
15,6.59,2026-03-05 04:10:51
16,2.16,2026-03-05 04:10:51
17,6.57,2026-03-05 04:10:51
18,17.13,2026-03-05 04:10:51
19,6.71,2026-03-05 04:10:51
20,5.52,2026-03-05 04:10:51
21,14.18,2026-03-05 04:10:51
22,10.99,2026-03-05 04:10:51
23,14.37,2026-03-05 04:10:51
24,12.77,2026-03-05 04:10:51
25,0.14,2026-03-05 04:10:51
26,3.57,2026-03-05 04:10:51
27,16.45,2026-03-05 04:10:51
28,7.84,2026-03-05 04:10:51
29,16.9,2026-03-05 04:10:51
30,8.59,2026-03-05 04:10:51
31,10.51,2026-03-05 04:10:51
32,14.35,2026-03-05 04:10:51
33,14.26,2026-03-05 04:10:51
34,7.9,2026-03-05 04:10:51
35,12.87,2026-03-05 04:10:51
36,6.31,2026-03-05 04:10:51
37,5.03,2026-03-05 04:10:51
38,14.02,2026-03-05 04:10:51
39,13.74,2026-03-05 04:10:51
40,4.74,2026-03-05 04:10:51
1,17.61,2026-03-05 04:40:51
2,2.12,2026-03-05 04:40:51
3,17.16,2026-03-05 04:40:51
4,16.08,2026-03-05 04:40:51
5,15.39,2026-03-05 04:40:51
6,3.78,2026-03-05 04:40:51
7,9.03,2026-03-05 04:40:51
8,16.85,2026-03-05 04:40:51
9,5.79,2026-03-05 04:40:51
10,10.99,2026-03-05 04:40:51
11,15.89,2026-03-05 04:40:51
12,14.6,2026-03-05 04:40:51
13,13.65,2026-03-05 04:40:51
14,17.42,2026-03-05 04:40:51
15,4.52,2026-03-05 04:40:51
16,2.15,2026-03-05 04:40:51
17,1.97,2026-03-05 04:40:51
18,2.58,2026-03-05 04:40:51
19,1.15,2026-03-05 04:40:51
20,15.85,2026-03-05 04:40:51
21,19.29,2026-03-05 04:40:51
22,0.81,2026-03-05 04:40:51
23,9.24,2026-03-05 04:40:51
24,6.53,2026-03-05 04:40:51
25,15.18,2026-03-05 04:40:51
26,19.86,2026-03-05 04:40:51
27,18.88,2026-03-05 04:40:51
28,0.45,2026-03-05 04:40:51
29,8.27,2026-03-05 04:40:51
30,16.2,2026-03-05 04:40:51
31,10.65,2026-03-05 04:40:51
32,0.08,2026-03-05 04:40:51
33,2.21,2026-03-05 04:40:51
34,14.95,2026-03-05 04:40:51
35,14.61,2026-03-05 04:40:51
36,13.43,2026-03-05 04:40:51
37,1.9,2026-03-05 04:40:51
38,9.23,2026-03-05 04:40:51
39,5.32,2026-03-05 04:40:51
40,1.19,2026-03-05 04:40:51
1,15.98,2026-03-05 05:10:51
2,5.11,2026-03-05 05:10:51
3,16.61,2026-03-05 05:10:51
4,5.77,2026-03-05 05:10:51
5,3.6,2026-03-05 05:10:51
6,19.7,2026-03-05 05:10:51
7,6.73,2026-03-05 05:10:51
8,9.64,2026-03-05 05:10:51
9,9.51,2026-03-05 05:10:51
10,9.38,2026-03-05 05:10:51
11,0.74,2026-03-05 05:10:51
12,13.41,2026-03-05 05:10:51
13,4.85,2026-03-05 05:10:51
14,6.05,2026-03-05 05:10:51
15,19.92,2026-03-05 05:10:51
16,19.33,2026-03-05 05:10:51
17,0.68,2026-03-05 05:10:51
18,19.54,2026-03-05 05:10:51
19,10.85,2026-03-05 05:10:51
20,7.47,2026-03-05 05:10:51
21,14.94,2026-03-05 05:10:51
22,12.64,2026-03-05 05:10:51
23,16.43,2026-03-05 05:10:51
24,9.55,2026-03-05 05:10:51
25,15.55,2026-03-05 05:10:51
26,0.57,2026-03-05 05:10:51
27,3.66,2026-03-05 05:10:51
28,1.24,2026-03-05 05:10:51
29,0.41,2026-03-05 05:10:51
30,6.7,2026-03-05 05:10:51
31,4.37,2026-03-05 05:10:51
32,4.84,2026-03-05 05:10:51
33,15.98,2026-03-05 05:10:51
34,5.28,2026-03-05 05:10:51
35,6.46,2026-03-05 05:10:51
36,7.26,2026-03-05 05:10:51
37,0.72,2026-03-05 05:10:51
38,8.54,2026-03-05 05:10:51
39,3.42,2026-03-05 05:10:51
40,6.69,2026-03-05 05:10:51
1,15.82,2026-03-05 05:40:51
2,3.33,2026-03-05 05:40:51
3,15.83,2026-03-05 05:40:51
4,0.02,2026-03-05 05:40:51
5,5.22,2026-03-05 05:40:51
6,8.91,2026-03-05 05:40:51
7,17.95,2026-03-05 05:40:51
8,19.42,2026-03-05 05:40:51
9,4.01,2026-03-05 05:40:51
10,19.89,2026-03-05 05:40:51
11,8.85,2026-03-05 05:40:51
12,3.59,2026-03-05 05:40:51
13,12.94,2026-03-05 05:40:51
14,9.08,2026-03-05 05:40:51
15,11.73,2026-03-05 05:40:51
16,18.79,2026-03-05 05:40:51
17,10.16,2026-03-05 05:40:51
18,4.28,2026-03-05 05:40:51
19,4.98,2026-03-05 05:40:51
20,8.01,2026-03-05 05:40:51
21,4.07,2026-03-05 05:40:51
22,9.22,2026-03-05 05:40:51
23,14.47,2026-03-05 05:40:51
24,0.09,2026-03-05 05:40:51
25,19.73,2026-03-05 05:40:51
26,10.88,2026-03-05 05:40:51
27,10.32,2026-03-05 05:40:51
28,10.67,2026-03-05 05:40:51
29,18.79,2026-03-05 05:40:51
30,1.37,2026-03-05 05:40:51
31,7.2,2026-03-05 05:40:51
32,7.15,2026-03-05 05:40:51
33,16.07,2026-03-05 05:40:51
34,10.47,2026-03-05 05:40:51
35,14.01,2026-03-05 05:40:51
36,9.57,2026-03-05 05:40:51
37,7.95,2026-03-05 05:40:51
38,8.71,2026-03-05 05:40:51
39,19.4,2026-03-05 05:40:51
40,19.46,2026-03-05 05:40:51
1,14.28,2026-03-05 06:10:51
2,8.55,2026-03-05 06:10:51
3,1.79,2026-03-05 06:10:51
4,6.31,2026-03-05 06:10:51
5,6.91,2026-03-05 06:10:51
6,6.27,2026-03-05 06:10:51
7,7.61,2026-03-05 06:10:51
8,9.63,2026-03-05 06:10:51
9,18.88,2026-03-05 06:10:51
10,14.29,2026-03-05 06:10:51
11,4.8,2026-03-05 06:10:51
12,5.68,2026-03-05 06:10:51
13,17.17,2026-03-05 06:10:51
14,11.54,2026-03-05 06:10:51
15,4.45,2026-03-05 06:10:51
16,19.59,2026-03-05 06:10:51
17,8.12,2026-03-05 06:10:51
18,12.26,2026-03-05 06:10:51
19,17.98,2026-03-05 06:10:51
20,9.02,2026-03-05 06:10:51
21,12.94,2026-03-05 06:10:51
22,5.08,2026-03-05 06:10:51
23,8.03,2026-03-05 06:10:51
24,7.99,2026-03-05 06:10:51
25,9.93,2026-03-05 06:10:51
26,13.12,2026-03-05 06:10:51
27,19.67,2026-03-05 06:10:51
28,18.34,2026-03-05 06:10:51
29,15.75,2026-03-05 06:10:51
30,19.15,2026-03-05 06:10:51
31,11.1,2026-03-05 06:10:51
32,9.29,2026-03-05 06:10:51
33,16.14,2026-03-05 06:10:51
34,4.06,2026-03-05 06:10:51
35,11.43,2026-03-05 06:10:51
36,19.84,2026-03-05 06:10:51
37,19.44,2026-03-05 06:10:51
38,12.07,2026-03-05 06:10:51
39,7.6,2026-03-05 06:10:51
40,19.94,2026-03-05 06:10:51
1,13.05,2026-03-05 06:40:51
2,6.71,2026-03-05 06:40:51
3,14.7,2026-03-05 06:40:51
4,15.29,2026-03-05 06:40:51
5,13.83,2026-03-05 06:40:51
6,12.03,2026-03-05 06:40:51
7,6.18,2026-03-05 06:40:51
8,19.41,2026-03-05 06:40:51
9,13.84,2026-03-05 06:40:51
10,15.47,2026-03-05 06:40:51
11,9.7,2026-03-05 06:40:51
12,14.69,2026-03-05 06:40:51
13,0.12,2026-03-05 06:40:51
14,7.73,2026-03-05 06:40:51
15,10.62,2026-03-05 06:40:51
16,17.66,2026-03-05 06:40:51
17,0.84,2026-03-05 06:40:51
18,7.74,2026-03-05 06:40:51
19,18.29,2026-03-05 06:40:51
20,3.88,2026-03-05 06:40:51
21,3.18,2026-03-05 06:40:51
22,2.12,2026-03-05 06:40:51
23,1.42,2026-03-05 06:40:51
24,4.34,2026-03-05 06:40:51
25,11.52,2026-03-05 06:40:51
26,4.43,2026-03-05 06:40:51
27,15.83,2026-03-05 06:40:51
28,3.36,2026-03-05 06:40:51
29,17.94,2026-03-05 06:40:51
30,8.68,2026-03-05 06:40:51
31,0.74,2026-03-05 06:40:51
32,0.36,2026-03-05 06:40:51
33,7.63,2026-03-05 06:40:51
34,7.64,2026-03-05 06:40:51
35,1.01,2026-03-05 06:40:51
36,13.1,2026-03-05 06:40:51
37,19.19,2026-03-05 06:40:51
38,12.72,2026-03-05 06:40:51
39,8.35,2026-03-05 06:40:51
40,4.43,2026-03-05 06:40:51
1,1.94,2026-03-05 07:10:51
2,10.23,2026-03-05 07:10:51
3,4.75,2026-03-05 07:10:51
4,3.83,2026-03-05 07:10:51
5,3.37,2026-03-05 07:10:51
6,10.46,2026-03-05 07:10:51
7,18.4,2026-03-05 07:10:51
8,10.34,2026-03-05 07:10:51
9,7.11,2026-03-05 07:10:51
10,0.7,2026-03-05 07:10:51
11,0.7,2026-03-05 07:10:51
12,19.69,2026-03-05 07:10:51
13,3.92,2026-03-05 07:10:51
14,17.03,2026-03-05 07:10:51
15,14.15,2026-03-05 07:10:51
16,17.89,2026-03-05 07:10:51
17,5.69,2026-03-05 07:10:51
18,0.54,2026-03-05 07:10:51
19,14.85,2026-03-05 07:10:51
20,19.71,2026-03-05 07:10:51
21,9.6,2026-03-05 07:10:51
22,16.49,2026-03-05 07:10:51
23,0.58,2026-03-05 07:10:51
24,17.51,2026-03-05 07:10:51
25,1.69,2026-03-05 07:10:51
26,4.81,2026-03-05 07:10:51
27,11.71,2026-03-05 07:10:51
28,17.01,2026-03-05 07:10:51
29,11.31,2026-03-05 07:10:51
30,9.43,2026-03-05 07:10:51
31,7.28,2026-03-05 07:10:51
32,9.2,2026-03-05 07:10:51
33,12.23,2026-03-05 07:10:51
34,1.58,2026-03-05 07:10:51
35,3.73,2026-03-05 07:10:51
36,0.18,2026-03-05 07:10:51
37,2.15,2026-03-05 07:10:51
38,16.22,2026-03-05 07:10:51
39,8.84,2026-03-05 07:10:51
40,5.93,2026-03-05 07:10:51
1,6.31,2026-03-05 07:40:51
2,13.8,2026-03-05 07:40:51
3,18.19,2026-03-05 07:40:51
4,13.93,2026-03-05 07:40:51
5,4.54,2026-03-05 07:40:51
6,19.94,2026-03-05 07:40:51
7,10.84,2026-03-05 07:40:51
8,2.37,2026-03-05 07:40:51
9,9.41,2026-03-05 07:40:51
10,13.69,2026-03-05 07:40:51
11,16.54,2026-03-05 07:40:51
12,3.16,2026-03-05 07:40:51
13,1.87,2026-03-05 07:40:51
14,7.35,2026-03-05 07:40:51
15,12.78,2026-03-05 07:40:51
16,2.77,2026-03-05 07:40:51
17,17.74,2026-03-05 07:40:51
18,5.16,2026-03-05 07:40:51
19,11.32,2026-03-05 07:40:51
20,2.78,2026-03-05 07:40:51
21,14.29,2026-03-05 07:40:51
22,17.34,2026-03-05 07:40:51
23,4.9,2026-03-05 07:40:51
24,13.58,2026-03-05 07:40:51
25,4.94,2026-03-05 07:40:51
26,14.27,2026-03-05 07:40:51
27,9.3,2026-03-05 07:40:51
28,0.16,2026-03-05 07:40:51
29,10.03,2026-03-05 07:40:51
30,10.09,2026-03-05 07:40:51
31,16.09,2026-03-05 07:40:51
32,12.14,2026-03-05 07:40:51
33,8.63,2026-03-05 07:40:51
34,3.01,2026-03-05 07:40:51
35,9.18,2026-03-05 07:40:51
36,7.11,2026-03-05 07:40:51
37,17.93,2026-03-05 07:40:51
38,6.08,2026-03-05 07:40:51
39,2.64,2026-03-05 07:40:51
40,0.03,2026-03-05 07:40:51
1,6.73,2026-03-05 08:10:51
2,12.22,2026-03-05 08:10:51
3,11.35,2026-03-05 08:10:51
4,11.73,2026-03-05 08:10:51
5,7.66,2026-03-05 08:10:51
6,19.73,2026-03-05 08:10:51
7,10.32,2026-03-05 08:10:51
8,13.85,2026-03-05 08:10:51
9,0.81,2026-03-05 08:10:51
10,2.27,2026-03-05 08:10:51
11,12.38,2026-03-05 08:10:51
12,11.68,2026-03-05 08:10:51
13,14.6,2026-03-05 08:10:51
14,10.83,2026-03-05 08:10:51
15,14.95,2026-03-05 08:10:51
16,16.89,2026-03-05 08:10:51
17,7.55,2026-03-05 08:10:51
18,1.75,2026-03-05 08:10:51
19,12.62,2026-03-05 08:10:51
20,19.68,2026-03-05 08:10:51
21,3.65,2026-03-05 08:10:51
22,12.41,2026-03-05 08:10:51
23,5.79,2026-03-05 08:10:51
24,2.5,2026-03-05 08:10:51
25,2.06,2026-03-05 08:10:51
26,13.75,2026-03-05 08:10:51
27,16.89,2026-03-05 08:10:51
28,3.91,2026-03-05 08:10:51
29,18.17,2026-03-05 08:10:51
30,12.49,2026-03-05 08:10:51
31,14.14,2026-03-05 08:10:51
32,0.06,2026-03-05 08:10:51
33,2.07,2026-03-05 08:10:51
34,15.22,2026-03-05 08:10:51
35,12.65,2026-03-05 08:10:51
36,1.36,2026-03-05 08:10:51
37,6.33,2026-03-05 08:10:51
38,0.12,2026-03-05 08:10:51
39,5.89,2026-03-05 08:10:51
40,9.96,2026-03-05 08:10:51
1,59.32,2026-03-05 08:40:51
2,75.65,2026-03-05 08:40:51
3,40.88,2026-03-05 08:40:51
4,78.92,2026-03-05 08:40:51
5,40.8,2026-03-05 08:40:51
6,82.29,2026-03-05 08:40:51
7,54.24,2026-03-05 08:40:51
8,81.11,2026-03-05 08:40:51
9,47.81,2026-03-05 08:40:51
10,77.53,2026-03-05 08:40:51
11,52.48,2026-03-05 08:40:51
12,79.69,2026-03-05 08:40:51
13,48.5,2026-03-05 08:40:51
14,75.68,2026-03-05 08:40:51
15,58.8,2026-03-05 08:40:51
16,69.47,2026-03-05 08:40:51
17,49.37,2026-03-05 08:40:51
18,80.18,2026-03-05 08:40:51
19,52.33,2026-03-05 08:40:51
20,73.93,2026-03-05 08:40:51
21,51.31,2026-03-05 08:40:51
22,75.35,2026-03-05 08:40:51
23,48.86,2026-03-05 08:40:51
24,66.13,2026-03-05 08:40:51
25,45.91,2026-03-05 08:40:51
26,81.75,2026-03-05 08:40:51
27,42.3,2026-03-05 08:40:51
28,67.78,2026-03-05 08:40:51
29,44.47,2026-03-05 08:40:51
30,81.62,2026-03-05 08:40:51
31,45.26,2026-03-05 08:40:51
32,71.18,2026-03-05 08:40:51
33,44.26,2026-03-05 08:40:51
34,67.25,2026-03-05 08:40:51
35,55.85,2026-03-05 08:40:51
36,67.3,2026-03-05 08:40:51
37,51.82,2026-03-05 08:40:51
38,81.5,2026-03-05 08:40:51
39,41.67,2026-03-05 08:40:51
40,78.17,2026-03-05 08:40:51
1,52.17,2026-03-05 09:10:51
2,68.44,2026-03-05 09:10:51
3,41.99,2026-03-05 09:10:51
4,76.95,2026-03-05 09:10:51
5,40.44,2026-03-05 09:10:51
6,69.69,2026-03-05 09:10:51
7,44.28,2026-03-05 09:10:51
8,81.93,2026-03-05 09:10:51
9,46.31,2026-03-05 09:10:51
10,76.01,2026-03-05 09:10:51
11,43.28,2026-03-05 09:10:51
12,82.25,2026-03-05 09:10:51
13,59.78,2026-03-05 09:10:51
14,70.19,2026-03-05 09:10:51
15,43.19,2026-03-05 09:10:51
16,79.89,2026-03-05 09:10:51
17,53.87,2026-03-05 09:10:51
18,84.72,2026-03-05 09:10:51
19,40.42,2026-03-05 09:10:51
20,69.82,2026-03-05 09:10:51
21,45.08,2026-03-05 09:10:51
22,65.24,2026-03-05 09:10:51
23,59.14,2026-03-05 09:10:51
24,84.72,2026-03-05 09:10:51
25,46.76,2026-03-05 09:10:51
26,73.35,2026-03-05 09:10:51
27,47.75,2026-03-05 09:10:51
28,83.64,2026-03-05 09:10:51
29,57.76,2026-03-05 09:10:51
30,79.41,2026-03-05 09:10:51
31,51.84,2026-03-05 09:10:51
32,67.87,2026-03-05 09:10:51
33,52.55,2026-03-05 09:10:51
34,75.46,2026-03-05 09:10:51
35,45.55,2026-03-05 09:10:51
36,79.57,2026-03-05 09:10:51
37,56.27,2026-03-05 09:10:51
38,74.86,2026-03-05 09:10:51
39,59.09,2026-03-05 09:10:51
40,84.76,2026-03-05 09:10:51
1,66.74,2026-03-05 09:40:51
2,82.72,2026-03-05 09:40:51
3,68.24,2026-03-05 09:40:51
4,94.8,2026-03-05 09:40:51
5,67.46,2026-03-05 09:40:51
6,83.59,2026-03-05 09:40:51
7,59.55,2026-03-05 09:40:51
8,93.01,2026-03-05 09:40:51
9,61.56,2026-03-05 09:40:51
10,83.17,2026-03-05 09:40:51
11,65.04,2026-03-05 09:40:51
12,90.53,2026-03-05 09:40:51
13,62.8,2026-03-05 09:40:51
14,82.79,2026-03-05 09:40:51
15,61.86,2026-03-05 09:40:51
16,96.03,2026-03-05 09:40:51
17,62.89,2026-03-05 09:40:51
18,89.19,2026-03-05 09:40:51
19,67.51,2026-03-05 09:40:51
20,87.59,2026-03-05 09:40:51
21,72.34,2026-03-05 09:40:51
22,94.46,2026-03-05 09:40:51
23,58.9,2026-03-05 09:40:51
24,99.61,2026-03-05 09:40:51
25,70.42,2026-03-05 09:40:51
26,86.3,2026-03-05 09:40:51
27,58.58,2026-03-05 09:40:51
28,87.24,2026-03-05 09:40:51
29,75.0,2026-03-05 09:40:51
30,82.72,2026-03-05 09:40:51
31,61.65,2026-03-05 09:40:51
32,98.41,2026-03-05 09:40:51
33,66.92,2026-03-05 09:40:51
34,87.87,2026-03-05 09:40:51
35,59.83,2026-03-05 09:40:51
36,94.53,2026-03-05 09:40:51
37,66.83,2026-03-05 09:40:51
38,90.07,2026-03-05 09:40:51
39,58.19,2026-03-05 09:40:51
40,84.08,2026-03-05 09:40:51
1,68.57,2026-03-05 10:10:51
2,85.71,2026-03-05 10:10:51
3,71.8,2026-03-05 10:10:51
4,84.97,2026-03-05 10:10:51
5,55.73,2026-03-05 10:10:51
6,92.71,2026-03-05 10:10:51
7,69.4,2026-03-05 10:10:51
8,92.29,2026-03-05 10:10:51
9,60.51,2026-03-05 10:10:51
10,81.35,2026-03-05 10:10:51
11,74.13,2026-03-05 10:10:51
12,87.84,2026-03-05 10:10:51
13,60.0,2026-03-05 10:10:51
14,88.58,2026-03-05 10:10:51
15,69.99,2026-03-05 10:10:51
16,99.19,2026-03-05 10:10:51
17,60.55,2026-03-05 10:10:51
18,95.68,2026-03-05 10:10:51
19,56.8,2026-03-05 10:10:51
20,93.9,2026-03-05 10:10:51
21,71.32,2026-03-05 10:10:51
22,96.36,2026-03-05 10:10:51
23,72.31,2026-03-05 10:10:51
24,86.58,2026-03-05 10:10:51
25,56.06,2026-03-05 10:10:51
26,83.71,2026-03-05 10:10:51
27,72.42,2026-03-05 10:10:51
28,96.78,2026-03-05 10:10:51
29,55.11,2026-03-05 10:10:51
30,96.69,2026-03-05 10:10:51
31,66.91,2026-03-05 10:10:51
32,80.3,2026-03-05 10:10:51
33,62.78,2026-03-05 10:10:51
34,98.31,2026-03-05 10:10:51
35,56.38,2026-03-05 10:10:51
36,99.37,2026-03-05 10:10:51
37,66.92,2026-03-05 10:10:51
38,89.4,2026-03-05 10:10:51
39,72.94,2026-03-05 10:10:51
40,94.04,2026-03-05 10:10:51
1,58.69,2026-03-05 10:40:51
2,68.22,2026-03-05 10:40:51
3,52.98,2026-03-05 10:40:51
4,74.86,2026-03-05 10:40:51
5,54.19,2026-03-05 10:40:51
6,82.41,2026-03-05 10:40:51
7,43.18,2026-03-05 10:40:51
8,71.0,2026-03-05 10:40:51
9,43.77,2026-03-05 10:40:51
10,67.11,2026-03-05 10:40:51
11,47.75,2026-03-05 10:40:51
12,84.29,2026-03-05 10:40:51
13,43.01,2026-03-05 10:40:51
14,82.5,2026-03-05 10:40:51
15,54.22,2026-03-05 10:40:51
